,author,category,content,published_date,title,url
75,Anmol Sharma,entertainment,"Model-actor Milind Soman took to Instagram to share a picture of himself sitting in an auto-rickshaw with the caption, ""#Fridayface in a rickshaw on the way to the airport, best light, no filter."" Reacting to it, a user wrote, ""I wouldn't find this guy attractive as a female tbh."" ""If you try...sex change you might know for sure,"" Milind responded.",2019-12-06T15:33:17.000Z,Try sex change: Milind to man saying he won't find him attractive as a female,https://inshorts.com/en/read/entertainment
76,Nandini Sinha,entertainment,"Pooja Bhatt said that her half-sister Alia Bhatt is so successful as she didn't inherit their father Mahesh Bhatt's ""genetic flaw of saying things as they are"" and added that ""too much truth doesn't go down well in Bollywood"". ""We say things...not how the people expect us to say them,"" Pooja further said about herself and half-sister Shaheen.",2019-12-06T11:56:24.000Z,Alia is successful as she didn't inherit our father's genetic flaw: Pooja,https://inshorts.com/en/read/entertainment
77,Nandini Sinha,entertainment,"Speaking at the Hindustan Times Leadership Summit, Akshay Kumar said, ""I have applied for an Indian passport...It hurts me that to prove that I'm an Indian, I have to show a copy...a passport."" ""I've never hidden or denied that I hold a Canadian passport. I work in India, and pay all my taxes in India,"" Akshay had earlier said.",2019-12-06T12:54:11.000Z,"Have applied for Indian passport, hurts me to prove I'm an Indian: Akshay",https://inshorts.com/en/read/entertainment
78,Daisy Mowke,entertainment,"Actor Hrithik Roshan has shared a report on Twitter about Akshay Kumar beating him at the box-office in 2019. ""How good would I be if I didn't have friends who were better than me,"" he wrote while adding a clapping emoji. The report stated that Akshay's 'Housefull 4' beat Hrithik's 'War' in terms of earnings in Mumbai.",2019-12-05T11:38:42.000Z,I've friends who're better than me: Hrithik on Akshay beating him at box-office,https://inshorts.com/en/read/entertainment
79,Daisy Mowke,entertainment,"Malayalam adult film actress Shakeela has claimed that two Censor Board members asked her for bribe to pass her upcoming production venture 'Ladies Not Allowed', an adult comedy. ""Our film has been [rejected] by...Censor Board not once but twice so far,"" she said. Shakeela added, ""Before starting the movie, we made it clear that we're making an adult comedy.""",2019-12-05T14:25:27.000Z,Adult film star claims Censor Board members demanded bribe to pass film,https://inshorts.com/en/read/entertainment
80,Ankush Verma,entertainment,"Commenting on the killing of the 4 accused in the 27-year-old Hyderabad veterinarian's gangrape and murder case, actress and Rajya Sabha MP Jaya Bachchan said, ""Der aaye, durust aaye."" Earlier, she had said, ""These types of people (the 4 accused) need to be brought out in public and lynched. This is my suggestion. I know it's a little harsh.""",2019-12-06T06:39:38.000Z,"Der aaye, durust aaye: Jaya Bachchan on killing of 4 Hyd gangrape accused",https://inshorts.com/en/read/entertainment
81,Atul Mishra,entertainment,"American singer R Kelly was charged with bribing a government employee in order to get a fraudulent ID to marry a 15-year-old girl in 1994. The girl, named Jane Doe in documents, has been speculated to be singer Aaliyah. They got married when she was allegedly 15 and Kelly was 27, although the certificate then mentioned her age as 18.",2019-12-06T11:20:30.000Z,Singer R Kelly charged with bribing govt official to marry 15-yr-old in 1994,https://inshorts.com/en/read/entertainment
82,Daisy Mowke,entertainment,"Speaking about battling mental health issues, actress-producer Pooja Bhatt spoke about contemplating suicide once. ""I was coming back from Goa, from a rave...Everyone was feeling great and I was feeling damn low,"" she said. ""I called my father and said I'm feeling almost suicidal, I just want to walk into that ocean and never come back,"" Pooja added.",2019-12-05T12:30:15.000Z,"Was in Goa, wanted to walk into ocean & never return: Pooja on feeling suicidal",https://inshorts.com/en/read/entertainment
83,Arshiya Chopra,entertainment,"Sanjay Dutt revealed on a TV show that he used to get 10 paise for making one paper bag in jail, adding, ""I used to collect the money...[to] send a gift to my sisters on Rakhi."" ""It took me a lot of time to learn these skills...We had to work if we wanted to shorten our jail time,"" Dutt said.",2019-12-06T11:33:17.000Z,"Made paper bags in jail for 10p each, used money for sisters' Rakhi gift: Dutt",https://inshorts.com/en/read/entertainment
84,Arshiya Chopra,entertainment,"After a troll called Sonakshi Sinha ""biggest chamchi [sycophant] of Salman Khan"", the actress responded by saying, ""Yeah well, he gave me my first film...hu mai, kya karloge (I am, what will you do about it?)"" Sonakshi was reading 'mean comments' against her on social media when she came across the remark.",2019-12-06T12:23:47.000Z,"Hu mai, kya karloge: Sonakshi after troll calls her 'chamchi of Salman'",https://inshorts.com/en/read/entertainment
